	name	type	units	description	sampling_frequency	status	status_description
44	B13	EEG	V	ElectroEncephaloGram	512.0	good	n/a
45	B14	EEG	V	ElectroEncephaloGram	512.0	good	n/a
46	B15	EEG	V	ElectroEncephaloGram	512.0	bad	n/a
47	B16	EEG	V	ElectroEncephaloGram	512.0	good	n/a
48	B17	EEG	V	ElectroEncephaloGram	512.0	good	n/a
49	B18	EEG	V	ElectroEncephaloGram	512.0	good	n/a
50	B19	EEG	V	ElectroEncephaloGram	512.0	good	n/a
51	B20	EEG	V	ElectroEncephaloGram	512.0	good	n/a
52	B21	EEG	V	ElectroEncephaloGram	512.0	good	n/a
53	B22	EEG	V	ElectroEncephaloGram	512.0	good	n/a
54	B23	EEG	V	ElectroEncephaloGram	512.0	good	n/a
55	B24	EEG	V	ElectroEncephaloGram	512.0	good	n/a
56	B25	EEG	V	ElectroEncephaloGram	512.0	good	n/a
57	B26	EEG	V	ElectroEncephaloGram	512.0	good	n/a
58	B27	EEG	V	ElectroEncephaloGram	512.0	good	n/a
59	B28	EEG	V	ElectroEncephaloGram	512.0	good	n/a
60	B29	EEG	V	ElectroEncephaloGram	512.0	good	n/a
61	B30	EEG	V	ElectroEncephaloGram	512.0	good	n/a
62	B31	EEG	V	ElectroEncephaloGram	512.0	good	n/a
63	B32	EEG	V	ElectroEncephaloGram	512.0	good	n/a
64	C1	EEG	V	ElectroEncephaloGram	512.0	good	n/a
65	C2	EEG	V	ElectroEncephaloGram	512.0	good	n/a
66	C3	EEG	V	ElectroEncephaloGram	512.0	good	n/a
67	C4	EEG	V	ElectroEncephaloGram	512.0	good	n/a
68	C5	EEG	V	ElectroEncephaloGram	512.0	good	n/a
69	C6	EEG	V	ElectroEncephaloGram	512.0	good	n/a
70	C7	EEG	V	ElectroEncephaloGram	512.0	good	n/a
71	C8	EEG	V	ElectroEncephaloGram	512.0	good	n/a
72	C9	EEG	V	ElectroEncephaloGram	512.0	good	n/a
73	C10	EEG	V	ElectroEncephaloGram	512.0	good	n/a
74	C11	EEG	V	ElectroEncephaloGram	512.0	good	n/a
75	C12	EEG	V	ElectroEncephaloGram	512.0	good	n/a
76	C13	EEG	V	ElectroEncephaloGram	512.0	good	n/a
77	C14	EEG	V	ElectroEncephaloGram	512.0	good	n/a
78	C15	EEG	V	ElectroEncephaloGram	512.0	good	n/a
79	C16	EEG	V	ElectroEncephaloGram	512.0	good	n/a
80	C17	EEG	V	ElectroEncephaloGram	512.0	good	n/a
81	C18	EEG	V	ElectroEncephaloGram	512.0	good	n/a
82	C19	EEG	V	ElectroEncephaloGram	512.0	good	n/a
83	C20	EEG	V	ElectroEncephaloGram	512.0	good	n/a
84	C21	EEG	V	ElectroEncephaloGram	512.0	good	n/a
85	C22	EEG	V	ElectroEncephaloGram	512.0	good	n/a
86	C23	EEG	V	ElectroEncephaloGram	512.0	good	n/a
87	C24	EEG	V	ElectroEncephaloGram	512.0	good	n/a
88	C25	EEG	V	ElectroEncephaloGram	512.0	good	n/a
89	C26	EEG	V	ElectroEncephaloGram	512.0	good	n/a
90	C27	EEG	V	ElectroEncephaloGram	512.0	good	n/a
91	C28	EEG	V	ElectroEncephaloGram	512.0	good	n/a
92	C29	EEG	V	ElectroEncephaloGram	512.0	good	n/a
93	C30	EEG	V	ElectroEncephaloGram	512.0	good	n/a
94	C31	EEG	V	ElectroEncephaloGram	512.0	good	n/a
95	C32	EEG	V	ElectroEncephaloGram	512.0	good	n/a
96	D1	EEG	V	ElectroEncephaloGram	512.0	good	n/a
97	D2	EEG	V	ElectroEncephaloGram	512.0	good	n/a
98	D3	EEG	V	ElectroEncephaloGram	512.0	good	n/a
99	D4	EEG	V	ElectroEncephaloGram	512.0	good	n/a
100	D5	EEG	V	ElectroEncephaloGram	512.0	good	n/a
101	D6	EEG	V	ElectroEncephaloGram	512.0	good	n/a
102	D7	EEG	V	ElectroEncephaloGram	512.0	good	n/a
103	D8	EEG	V	ElectroEncephaloGram	512.0	bad	n/a
104	D9	EEG	V	ElectroEncephaloGram	512.0	bad	n/a
105	D10	EEG	V	ElectroEncephaloGram	512.0	good	n/a
106	D11	EEG	V	ElectroEncephaloGram	512.0	bad	n/a
107	D12	EEG	V	ElectroEncephaloGram	512.0	good	n/a
108	D13	EEG	V	ElectroEncephaloGram	512.0	good	n/a
109	D14	EEG	V	ElectroEncephaloGram	512.0	good	n/a
110	D15	EEG	V	ElectroEncephaloGram	512.0	bad	n/a
111	D16	EEG	V	ElectroEncephaloGram	512.0	bad	n/a
112	D17	EEG	V	ElectroEncephaloGram	512.0	good	n/a
113	D18	EEG	V	ElectroEncephaloGram	512.0	bad	n/a
114	D19	EEG	V	ElectroEncephaloGram	512.0	good	n/a
115	D20	EEG	V	ElectroEncephaloGram	512.0	good	n/a
116	D21	EEG	V	ElectroEncephaloGram	512.0	good	n/a
117	D22	EEG	V	ElectroEncephaloGram	512.0	good	n/a
118	D23	EEG	V	ElectroEncephaloGram	512.0	good	n/a
119	D24	EEG	V	ElectroEncephaloGram	512.0	good	n/a
120	D25	EEG	V	ElectroEncephaloGram	512.0	good	n/a
121	D26	EEG	V	ElectroEncephaloGram	512.0	good	n/a
122	D27	EEG	V	ElectroEncephaloGram	512.0	good	n/a
123	D28	EEG	V	ElectroEncephaloGram	512.0	good	n/a
124	D29	EEG	V	ElectroEncephaloGram	512.0	good	n/a
125	D30	EEG	V	ElectroEncephaloGram	512.0	good	n/a
126	D31	EEG	V	ElectroEncephaloGram	512.0	good	n/a
127	D32	EEG	V	ElectroEncephaloGram	512.0	good	n/a
