	name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
53	B22	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
54	B23	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
55	B24	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
56	B25	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
57	B26	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
58	B27	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
59	B28	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
60	B29	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
61	B30	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
62	B31	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
63	B32	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
64	C1	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
65	C2	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
66	C3	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
67	C4	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
68	C5	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
69	C6	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
70	C7	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
71	C8	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
72	C9	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
73	C10	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
74	C11	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
75	C12	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
76	C13	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
77	C14	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
78	C15	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
79	C16	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
80	C17	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
81	C18	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
82	C19	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
83	C20	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
84	C21	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
85	C22	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
86	C23	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
87	C24	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
88	C25	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
89	C26	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
90	C27	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
91	C28	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
92	C29	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
93	C30	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
94	C31	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
95	C32	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
96	D1	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
97	D2	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
98	D3	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
99	D4	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
100	D5	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
101	D6	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
102	D7	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
103	D8	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
104	D9	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
105	D10	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
106	D11	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
107	D12	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
108	D13	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
109	D14	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
110	D15	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
111	D16	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
112	D17	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
113	D18	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
114	D19	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
115	D20	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
116	D21	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
117	D22	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
118	D23	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
119	D24	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
120	D25	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
121	D26	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
122	D27	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
123	D28	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
124	D29	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
125	D30	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
126	D31	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	bad	
127	D32	EEG	V	0.0	256.0	ElectroEncephaloGram	512.0	good	
